会议名称,简称,CCF等级,CORE等级,CCF领域,数据来源,匹配依据,CORE名称别名
"International Conference on Software Quality, Reliability and Security",QRS,C,C,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,"Software Quality, Reliability, and Security (was International Conference on Quality Software, QSIC, that merged with SERE 2015)"
International Conference on Software Reuse,ICSR,C,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
International Conference on Spatial Information Theory,COSIT,C,,交叉/综合/新兴,CCF2026,仅CCF收录,
International Conference on Supercomputing,ICS,B,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,ACM International Conference on Supercomputing
International Conference on Sustainable Energy Information Technology,SEIT,,Unranked,,CORE2026,仅CORE收录,
International Conference on Systems Engineering,ICSEng,,C,,CORE2026,仅CORE收录,
International Conference on Technical Debt,TechDebt,,B,,CORE2026,仅CORE收录,
International Conference on Testing Software and Systems,ICTSS,,C,,CORE2026,仅CORE收录,
International Conference on Tests and Proofs,TAP,,C,,CORE2026,仅CORE收录,
International Conference on the Application and Theory of Petri Nets and Concurrency,Petri Nets,,B,,CORE2026,仅CORE收录,
International Conference on the Foundations of Digital Games,FDG,,C,,CORE2026,仅CORE收录,
