会议名称,简称,CCF等级,CORE等级,CCF领域,数据来源,匹配依据,CORE名称别名
International Conference on the Quality of Information and Communications Technology,QUATIC,,National/Regional,,CORE2026,仅CORE收录,
International Conference on the Simulation and Synthesis of Living Systems,ALIFE,,C,,CORE2026,仅CORE收录,
International Conference on the Statistical Analysis of Textual Data,JADT,,C,,CORE2026,仅CORE收录,
International Conference on the Theory and Applications of Cryptographic Techniques,EUROCRYPT,A,A*,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,International Conference on the Theory and Application of Cryptographic Techniques
International Conference on the Theory of Information Retrieval,ICTIR,,Unranked,,CORE2026,仅CORE收录,
International Conference on Theorem Proving with Analytic Tableaux and Related Methods,TABLEAUX,,B,,CORE2026,仅CORE收录,
International Conference on Theory and Applications of Satisfiability Testing,SAT,B,A,计算机科学理论,CCF2026|CORE2026,标题精确匹配,
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,,B,,CORE2026,仅CORE收录,
"International Conference on Trust, Privacy and Security in Digital Business",TrustBus,,B,,CORE2026,仅CORE收录,
International Conference on Unconventional Computation and Natural Computation (was International Conference on Unconventional Computation),UC,,C,,CORE2026,仅CORE收录,
"International Conference on User Modelling, Adaptation, and Personalization (was AH and UM)",UMAP,,A,,CORE2026,仅CORE收录,
International Conference on Vehicle Technology and Intelligent Transport Systems,VEHITS,,C,,CORE2026,仅CORE收录,
"International Conference on Verification, Model Checking and Abstract Interpretation",VMCAI,B,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,"Verification, Model Checking and Abstract Interpretation"
International Conference on Very Large Data Bases,VLDB,A,A*,数据库/数据挖掘/内容检索,CCF2026|CORE2026,简称唯一匹配,International Conference on Very Large Databases
International Conference on Virtual Execution Environments,VEE,B,B,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,标题精确匹配,
International Conference on Virtual Rehabilitation,ICVR,,Unranked,,CORE2026,仅CORE收录,
International Conference on VLSI Design,VLSID,,National: India,,CORE2026,仅CORE收录,
International Conference on Web Age Information Management,WAIM,C,,数据库/数据挖掘/内容检索,CCF2026,仅CCF收录,
International Conference on Web Engineering,ICWE,C,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
International Conference on Web Information Systems and Technologies,WEBIST,,C,,CORE2026,仅CORE收录,
International Conference on Wireless Networks and Mobile Communications,WINCOM,,C,,CORE2026,仅CORE收录,
"International Conference: Sciences of Electronics, Technologies of information and Telecommunication",SETIT,,Unranked,,CORE2026,仅CORE收录,
"International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision",WSCG,,National: Czecholslovakia,,CORE2026,仅CORE收录,
International Congress on Computational and Applied Mathematics,ICCAM,,C,,CORE2026,仅CORE收录,
International Congress on Modelling and Simulation,MODSIM,,Australasian C,,CORE2026,仅CORE收录,
International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,,C,,CORE2026,仅CORE收录,
International Cryptology Conference,CRYPTO,A,A*,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,Advances in Cryptology
International CSI Computer Conference,CSICC,,National: Iran,,CORE2026,仅CORE收录,
International Database Engineering and Applications Symposium,IDEAS,,C,,CORE2026,仅CORE收录,
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,,B,,CORE2026,仅CORE收录,
International FLINS Conference on Robotics and Artificial Intelligence (was International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference),FLINS,,C,,CORE2026,仅CORE收录,
International Frontiers of Algorithmics Workshop,FAW,,National: China,,CORE2026,仅CORE收录,
International Joint Conference on Artificial Intelligence,IJCAI,B,A*,人工智能,CCF2026|CORE2026,标题精确匹配,
International Joint Conference on Automated Reasoning,IJCAR,,A,,CORE2026,仅CORE收录,
International Joint Conference on Autonomous Agents and Multi-agent Systems,AAMAS,B,A,人工智能,CCF2026|CORE2026,简称唯一匹配,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)"
International Joint Conference on Biometrics,IJCB,C,B,人工智能,CCF2026|CORE2026,标题精确匹配,
International Joint Conference on Computational Intelligence,IJCCI,,C,,CORE2026,仅CORE收录,
"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",IC3K,,C,,CORE2026,仅CORE收录,
International Joint Conference on Natural Language Processing,IJCNLP,,B,,CORE2026,仅CORE收录,
International Joint Conference on Neural Networks,IJCNN,C,B,人工智能,CCF2026|CORE2026,简称唯一匹配,IEEE International Joint Conference on Neural Networks
International Joint Conference on Rough Sets (2014 International Conference on Rough Sets and Current Trends in Computing joined with 3 others),IJCRS (was RSCTC),,C,,CORE2026,仅CORE收录,
International Joint Conference on Rules and Reasoning,RuleML+RR,,B,,CORE2026,仅CORE收录,
International Joint Conference on Theoretical Computer Science - Frontier of Algorithmic Wisdom,IJTCS-FAW,C,,交叉/综合/新兴,CCF2026,仅CCF收录,
International KES Conference on Agents and Multiagent systems - Technologies and Applications,KES AMSTA,,C,,CORE2026,仅CORE收录,
International Machine Vision and Image Processing Conference,IMVIP,,National: ireland,,CORE2026,仅CORE收录,
International Middleware Conference,Middleware,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,ACM/IFIP/USENIX International Middleware Conference
International Natural Language Generation Conference,INLG,,B,,CORE2026,仅CORE收录,
International Network Optimization Conference,INOC,,C,,CORE2026,仅CORE收录,
International Picture Coding Symposium,PCS,,C,,CORE2026,仅CORE收录,
International Semantic Web Conference,ISWC,,A,,CORE2026,仅CORE收录,
International Static Analysis Symposium,SAS,B,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,Static Analysis Symposium
International Symposium 'Problems of Redundancy in Information and Control Systems',Redundancy,,National Russia,,CORE2026,仅CORE收录,
International Symposium on Advanced Parallel Processing Technology,APPT,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
International Symposium on Algorithmic Game Theory,SAGT,C,B,交叉/综合/新兴,CCF2026|CORE2026,标题精确匹配,
International Symposium on Algorithms and Computation,ISAAC,C,B,计算机科学理论,CCF2026|CORE2026,标题精确匹配,
International Symposium on Algorithms and Experiments for  Wireless Networks,Algosensors,,C,,CORE2026,仅CORE收录,
International Symposium on Applied Computational Intelligence and Informatics,SACI,,National: Romania,,CORE2026,仅CORE收录,
International Symposium on Applied Machine Intelligence and Informatics,SAMI,,National: slovakia,,CORE2026,仅CORE收录,
International Symposium on Artificial Intelligence and Mathematics,ISAIM,,National: USA,,CORE2026,仅CORE收录,
International Symposium on Artificial Life and Robotics,AROB,,C,,CORE2026,仅CORE收录,
International Symposium on Automated Technology for Verification and Analysis,ATVA,C,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
International Symposium on Automation and Robotics in Construction,ISARC,,C,,CORE2026,仅CORE收录,
International Symposium on Autonomous Decentralized Systems,ISADS,,C,,CORE2026,仅CORE收录,
International Symposium on Bioinformatics Research and Applications,ISBRA,C,,交叉/综合/新兴,CCF2026,仅CCF收录,
International Symposium on Combinatorial Optimisation,ISCO,,C,,CORE2026,仅CORE收录,
International Symposium on Computational Geometry,SoCG,B,A*,计算机科学理论,CCF2026|CORE2026,标题精确匹配,
International Symposium on Computer Architecture,ISCA,A,A*,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,ACM International Symposium on Computer Architecture
International Symposium on Computer Architecture and High Performance Computing,SBAC-PAD,,C,,CORE2026,仅CORE收录,
"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",Performance,B,Journal Published,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation"
International Symposium on Design and Diagnostics of Electronic Circuits and Systems,DDECS,,C,,CORE2026,仅CORE收录,
International Symposium on Distributed Computing (was WDAG),DISC,,A,,CORE2026,仅CORE收录,
International Symposium on Distributed Simulation and Real Time Applications,DS-RT,,C,,CORE2026,仅CORE收录,
International Symposium on Empirical Software Engineering and Measurement,ESEM,B,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
International Symposium on Experimental Algorithms,SEA,,B,,CORE2026,仅CORE收录,
International Symposium on Formal Methods,FM,A,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,International Symposium on Formal Methods (was Formal Methods Europe FME)
International Symposium on Foundations of Intelligent Systems,ISMIS,,C,,CORE2026,仅CORE收录,
International Symposium on Functional and Logic Programming,FLOPS,,National: Japan,,CORE2026,仅CORE收录,
International Symposium on Fundamentals of Computation Theory,FCT,,B,,CORE2026,仅CORE收录,
International Symposium on Grids and Clouds (was International Symposium on Grid Computing),ISGC,,C,,CORE2026,仅CORE收录,
International Symposium on Information Assurance and Security,IAS,,C,,CORE2026,仅CORE收录,
International Symposium on Information Theory and Its Applications,ISITA,,C,,CORE2026,仅CORE收录,
International Symposium on Innovations in Intelligent Systems and Applications,INISTA,,C,,CORE2026,仅CORE收录,
International Symposium on Intelligent Systems and Informatics,SISY,,National: serbia,,CORE2026,仅CORE收录,
International Symposium on Latin American Theoretical Informatics,LATIN,,B,,CORE2026,仅CORE收录,
"International Symposium on Leveraging Applications of Formal Methods, Verification and Validation",ISoLA,,C,,CORE2026,仅CORE收录,
International Symposium on Logic-based Program Synthesis and Transformation,LOPSTR,C,C,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
International Symposium on Low Power Electronics and Design,ISLPED,C,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,IEEE/ACM International Symposium on Low Power Electronics and Design
International Symposium on Memory Management,ISMM,,C,,CORE2026,仅CORE收录,
International Symposium on Mixed and Augmented Reality,ISMAR,B,A*,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,IEEE/ACM International Symposium on Mixed and Augmented Reality
International Symposium on Model Checking of Software,SPIN,C,,软件工程/系统软件/程序设计语言,CCF2026,仅CCF收录,
"International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",MASCOTS,C,B,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems
"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",WiOpt,,B,,CORE2026,仅CORE收录,
"International Symposium on Networks, Computers and Communications",ISNCC,,C,,CORE2026,仅CORE收录,
International Symposium on Neural Networks,ISNN,,C,,CORE2026,仅CORE收录,
"International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software",Onward,,C,,CORE2026,仅CORE收录,
International Symposium on Open Collaboration (was International Symposiums on Wikis),OPENSYM,,C,,CORE2026,仅CORE收录,
International Symposium on Parallel and Distributed Computing,ISPDC,,C,,CORE2026,仅CORE收录,
International Symposium on Parameterized and Exact Computation (was IWPEC pre 2004),IPEC,,B,,CORE2026,仅CORE收录,
International Symposium on Physical Design,ISPD,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
International Symposium on Recent Advances in Intrusion Detection,RAID,B,A,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,"The International Symposium on Research in Attacks, Intrusions and Defenses (was International Symposium on Recent Advances in Intrusion Detection)"
International Symposium on Robotics Research,ISRR,,C,,CORE2026,仅CORE收录,
International Symposium on Search Based Software Engineering,SSBSE,,B,,CORE2026,仅CORE收录,
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,,A,,CORE2026,仅CORE收录,
"International Symposium on Software Engineering: Theories, Tools, and Applications",SETTA,C,National:China,计算机科学理论,CCF2026|CORE2026,标题精确匹配,
International Symposium on Software Testing and Analysis,ISSTA,A,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,标题精确匹配,
International Symposium on Spatial and Temporal Databases,SSTD,C,B,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
International Symposium on Spatial Data Handling,SDH,,C,,CORE2026,仅CORE收录,
International Symposium on Spatial Data Quality,ISSDQ,,C,,CORE2026,仅CORE收录,
International Symposium on String Processing and Information Retrieval,SPIRE,,C,,CORE2026,仅CORE收录,
International Symposium on Symbolic and Algebraic Computation,ISSAC,,B,,CORE2026,仅CORE收录,
International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,SYNASC,,National: romania,,CORE2026,仅CORE收录,
International Symposium on Technology and Society,ISTAS,,C,,CORE2026,仅CORE收录,
International Symposium on Temporal Representation and Reasoning,TIME,,C,,CORE2026,仅CORE收录,
International Symposium on the Mathematical Theory of Networks and Systems,MTNS,,C,,CORE2026,仅CORE收录,
"International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",MobiHoc,B,B,计算机网络,CCF2026|CORE2026,简称唯一匹配,ACM Symposium on Mobile Ad Hoc Networking and Computing
International Symposium on Ubiquitous Virtual Reality,ISUVR,,National: S. Korea,,CORE2026,仅CORE收录,
International Symposium on Visual Computing,ISVC,,National: USA,,CORE2026,仅CORE收录,
International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,,Australasian C,,CORE2026,仅CORE收录,
International Teletraffic Congress,ITC,,Unranked,,CORE2026,仅CORE收录,
International Test Conference,ITC,B,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
International Test Conference in Asia,ITC-Asia,C,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
International Visualization in Transportation Symposium,TRB,,National: USA,,CORE2026,仅CORE收录,
International Wordnet Conference (Global Wordnet Conference),GWC,,C,,CORE2026,仅CORE收录,
International Work-Conference on Artificial and Natural Neural Networks,IWANN,,National: Spain,,CORE2026,仅CORE收录,
International Work-conference on the Interplay between Natural and Artificial Computation,IWINAC,,National,,CORE2026,仅CORE收录,
International Working Conference on Advanced Visual Interfaces,AVI,C,B,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,Advanced Visual Interfaces
International Workshop on Algebraic and Combinatorial Coding Theory,ACCT,,National,,CORE2026,仅CORE收录,
International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,,A,,CORE2026,仅CORE收录,
International Workshop on Combinations of Intelligent Methods and Applications,CIMA,,C,,CORE2026,仅CORE收录,
International Workshop on Combinatorial Algorithm,IWOCA,,C,,CORE2026,仅CORE收录,
International Workshop on Combinatorial Image Analysis: Theory and Applications,IWCIA,,C,,CORE2026,仅CORE收录,
"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)",COINE,,C,,CORE2026,仅CORE收录,
International Workshop on Critical Information Infrastructures Security,CRITIS,,C,,CORE2026,仅CORE收录,
International Workshop on Data Management on New Hardware,DaMoN,,C,,CORE2026,仅CORE收录,
International Workshop on Data Warehousing and OLAP,DOLAP,,C,,CORE2026,仅CORE收录,
International Workshop on Digital Watermarking,IWDW,,C,,CORE2026,仅CORE收录,
International Workshop on Document Analysis Systems,DAS,,B,,CORE2026,仅CORE收录,
International Workshop on Enterprise and Organizational Modelling and Simulation,EOMAS,,C,,CORE2026,仅CORE收录,
International Workshop on Fast Software Encryption,FSE,,B,,CORE2026,仅CORE收录,
International Workshop on Formal Methods for interactive Systems,FMIS,,C,,CORE2026,仅CORE收录,
International Workshop on Graph-Theoretic Concepts in Computer Science,WG,,B,,CORE2026,仅CORE收录,
International workshop on High-Level Parallel Programming and Applications,HLPP,,C,,CORE2026,仅CORE收录,
International Workshop on High-Level Parallel Programming Models and Supportive Environments,HIPS,,C,,CORE2026,仅CORE收录,
International Workshop on Modelling in Software Engineering,MISE,,C,,CORE2026,仅CORE收录,
International Workshop on MultiAgent Based Simulation,MABS,,C,,CORE2026,仅CORE收录,
International Workshop on Multimedia Signal Processing,MMSP,,C,,CORE2026,仅CORE收录,
International Workshop on Network and Operating System Support for Digital Audio and Video,NOSSDAV,B,B,计算机网络,CCF2026|CORE2026,简称唯一匹配,Network and Operating System Support for Digital Audio and Video
International Workshop on Post-Quantum Cryptography,PQCrypto,,C,,CORE2026,仅CORE收录,
International Workshop on Practice and Theory in Public Key Cryptography,PKC,B,B,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,International Conference on Practice and Theory in Public Key Cryptography
International Workshop on Principles of Diagnosis,DX,,C,,CORE2026,仅CORE收录,
International Workshop on Security,IWSEC,,National: Japan,,CORE2026,仅CORE收录,
International Workshop on Soft Computing Applications,SOFA,,National: Romania,,CORE2026,仅CORE收录,
International Workshop on Software and Compilers for Embedded Systems,SCOPES,,C,,CORE2026,仅CORE收录,
International Workshop on the Algorithmic Foundations of Robotics,WAFR,,C,,CORE2026,仅CORE收录,
International Workshop on Visualization for Cyber Security,VizSec,,C,,CORE2026,仅CORE收录,
International Workshop on Web and Databases,WebDB,C,,数据库/数据挖掘/内容检索,CCF2026,仅CCF收录,
International Workshop on Web and Wireless Geographical Information Systems,W2GIS,,C,,CORE2026,仅CORE收录,
International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,WETICE,,C,,CORE2026,仅CORE收录,
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,,A,,CORE2026,仅CORE收录,
ISC High Performance (was International Supercomputing Conference),ISC,,National/Regional,,CORE2026,仅CORE收录,
ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,,C,,CORE2026,仅CORE收录,
Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM and Mensura combined from 2007),IWSM Mensura,,C,,CORE2026,仅CORE收录,
"Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (GRAPP and VISAPP combined from 2008)",VISIGRAPP,,Multiconference,,CORE2026,仅CORE收录,
KES International Symposium on Intelligent Decision Technologies,KES IDT,,C,,CORE2026,仅CORE收录,
Knowledge capture,K-CAP,,B,,CORE2026,仅CORE收录,
Knowledge Domain Visualisation,KDViz,,National: UK,,CORE2026,仅CORE收录,
Knowledge Visualization and Visual Thinking,KV,,C,,CORE2026,仅CORE收录,
Language Resources and Evaluation Conference,LREC,,B,,CORE2026,仅CORE收录,
"Language, Data and Knowledge",LDK,,C,,CORE2026,仅CORE收录,
Large Installation System Administration Conference,LISA,B,,计算机体系结构/并行与分布计算/存储系统,CCF2026,仅CCF收录,
Latin American Conference on Informatics,CLEI,,C,,CORE2026,仅CORE收录,
"Latin-American Algorithms, Graphs and Optimization Symposium",LAGOS,,C,,CORE2026,仅CORE收录,
Logic Programming and Automated Reasoning,LPAR,,B,,CORE2026,仅CORE收录,
Logical Foundations of Computer Science,LFCS,,National: USA,,CORE2026,仅CORE收录,
"Logics in Artificial Intelligence, European Conference",JELIA,,B,,CORE2026,仅CORE收录,
Machine Translation Summit,MT SUMMIT,,C,,CORE2026,仅CORE收录,
Machine Vision Applications,MVA,,National: japan,,CORE2026,仅CORE收录,
"Machines, Computations and Universality (was Universal Machines and Computations)",MCU,,C,,CORE2026,仅CORE收录,
Malaysia International Conference on Communications,MICC,,Regional,,CORE2026,仅CORE收录,
Mass Storage Systems and Technologies,MSST,B,National: USA,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,IEEE Conference on Mass Storage Systems and Technologies
Mathematics of Program Construction,MPC,,B,,CORE2026,仅CORE收录,
Measurement and Modeling of Computer Systems,SIGMETRICS,,A*,,CORE2026,仅CORE收录,
Mensch & Computer,MuC,,National: Germany,,CORE2026,仅CORE收录,
Mining Software Repositories,MSR,C,A,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,IEEE International Working Conference on Mining Software Repositories
Mobile and Ubiquitous Multimedia (ACM),MUM,,B,,CORE2026,仅CORE收录,
Modelling and Optimization: Theory and Applications,MOPTA,,National: USA,,CORE2026,仅CORE收录,
Multimedia and Network Information Systems,MISSI,,National: Poland,,CORE2026,仅CORE收录,
National Conference of The Australian Society for Operations Research,ASOR,,Australasian C,,CORE2026,仅CORE收录,
National Conference on Man-Machine Speech Communication,NCMMSC,C,,计算机图形学与多媒体,CCF2026,仅CCF收录,
Network and Distributed System Security Symposium,NDSS,A,A*,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,Usenix Network and Distributed System Security Symposium
New Security Paradigms Workshop,NSPW,C,C,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
New Zealand Game Developers Conference,NZGDC,,Australasian C,,CORE2026,仅CORE收录,
Nordic Conference on Human-Computer Interaction,NordiCHI,,Regional:Scandinavia,,CORE2026,仅CORE收录,
North American Chapter of the Association for Computational Linguistics,NAACL,B,A,人工智能,CCF2026|CORE2026,简称唯一匹配,North American Association for Computational Linguistics
On-Line Testing and Robust System Design,IOLTS,,C,,CORE2026,仅CORE收录,
"Pacific Asia Conference on Language, Information and Computation",PACLIC,,C,,CORE2026,仅CORE收录,
Pacific Conference onComputer Graphics and Applications,PG,B,Journal Published,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,Pacific Conference on Computer Graphics and Applications
Pacific Rim International Conference on Artificial Intelligence,PRICAI,C,B,人工智能,CCF2026|CORE2026,标题精确匹配,
Pacific Rim International Symposium on Dependable Computing,PRDC,,C,,CORE2026,仅CORE收录,
Pacific Rim Knowledge Acquisition Workshop,PKAW,,C,,CORE2026,仅CORE收录,
Pacific Symposium on Biocomputing,PSB,,National: USA,,CORE2026,仅CORE收录,
Pacific-Asia Conference on Knowledge Discovery and Data Mining,PAKDD,C,B,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
Pacific-Rim Symposium on Image and Video Technology,PSIVT,,C,,CORE2026,仅CORE收录,
Parallel Problem Solving from Nature,PPSN,B,A,人工智能,CCF2026|CORE2026,标题精确匹配,
Passive and Active Measurement Conference,PAM,C,B,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
Pattern Languages of Programs,PLOP,,C,,CORE2026,仅CORE收录,
Portuguese Conference on Artificial Intelligence,EPIA,,National: Portugal,,CORE2026,仅CORE收录,
Practical Applications of Agents and Multiagent Systems,PAAMS,,National: Spain,,CORE2026,仅CORE收录,
Practical Aspects of Declarative Languages,PADL,,C,,CORE2026,仅CORE收录,
Practice and Theory of Automated Timetabling,PATAT,,C,,CORE2026,仅CORE收录,
Prague Stringology Conference,PSC,,National: Czech,,CORE2026,仅CORE收录,
Privacy Enhancing Technologies Symposium,PETS,C,A,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,Privacy Enhancing Technologies Symposium (was International Workshop of Privacy Enhancing Technologies)
Privacy in Statistical Databases,PSD,,C,,CORE2026,仅CORE收录,
Product Focused Software Process Improvement,PROFES,,B,,CORE2026,仅CORE收录,
Requirements Engineering: Foundation for Software Quality,REFSQ,C,B,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,International Workshop on Requirements Engineering: Foundation for Software Quality
Richard Tapia Celebration of Diversity in Computing Conference,Tapia,,National: USA,,CORE2026,仅CORE收录,
Robot Soccer World Cup,RoboCup,,C,,CORE2026,仅CORE收录,
Selected Areas in Cryptography,SAC,C,B,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
Semantics - International Conference on Semantic Systems,Semantics,,"Regional: Austria, Germany, Netherlands",,CORE2026,仅CORE收录,
SGAI International Conference on Artificial Intelligence,SGAI,,National: UK,,CORE2026,仅CORE收录,
Shape Modeling International,SMI,C,,计算机图形学与多媒体,CCF2026,仅CCF收录,
SIAM Conference on Discrete Mathematics,DM,,C,,CORE2026,仅CORE收录,
SIAM Conference on Optimization,OP,,C,,CORE2026,仅CORE收录,
SIAM International Conference on Data Mining,SDM,B,A,数据库/数据挖掘/内容检索,CCF2026|CORE2026,标题精确匹配,
SIGGRAPH Asia,SiggraphA,,A*,,CORE2026,仅CORE收录,
Simulation and Synthesis in Medical Imaging,SASHIMI,,C,,CORE2026,仅CORE收录,
Simulation Technology and Training Conference,SimTecT,,Australasian C,,CORE2026,仅CORE收录,
SKLOIS Conference on Information Security and Cryptology,Inscrypt,,National: China,,CORE2026,仅CORE收录,
Smart Card Research and Advanced Application Conference,CARDIS,,C,,CORE2026,仅CORE收录,
Software Process Improvement and Capability Determination,SPICE,,C,,CORE2026,仅CORE收录,
Software Product Lines Conference,SPLC,,B,,CORE2026,仅CORE收录,
Spoken Language Technology,SLT,C,,计算机图形学与多媒体,CCF2026,仅CCF收录,
Structural and Syntactical Pattern Recognition,SSPR,,B,,CORE2026,仅CORE收录,
Symposium of Asian Association for Algorithms and Computation,AAAC,,C,,CORE2026,仅CORE收录,
Symposium on Advances in DB and Information Systems,ADBIS,,C,,CORE2026,仅CORE收录,
Symposium on High Performance Chips,HOTCHIPS (HCS),,C,,CORE2026,仅CORE收录,
Symposium on Network System Design and Implementation,NSDI,A,National: USA,计算机网络,CCF2026|CORE2026,简称唯一匹配,"Symposium on Networked Systems, Design and Implementation"
Symposium on Solid and Physical Modeling,SPM,B,C,计算机图形学与多媒体,CCF2026|CORE2026,简称唯一匹配,ACM Symposium on Solid and Physical Modelling
"Symposium on Stabilization, Safety, and Security of Distributed Systems",SSS,,C,,CORE2026,仅CORE收录,
Symposium on Theoretical Aspects of Computer Science,STACS,C,A,计算机科学理论,CCF2026|CORE2026,简称唯一匹配,International Symposium on Theoretical Aspects of Computer Science
Symposium On Usable Privacy and Security,SOUPS,C,A,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
"Tangible, Embedded, and Embodied Interaction",TEI,,B,,CORE2026,仅CORE收录,
Testbeds and Research Infrastructures for the Development of Networks and Communities,TridentCom,,National: China,,CORE2026,仅CORE收录,
The ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies,COMPASS,,C,,CORE2026,仅CORE收录,
The Cryptographer's Track at RSA Conference,CT-RSA,C,B,网络与信息安全,CCF2026|CORE2026,简称唯一匹配,Cryptographers Track at RSA Conference
The International AAAI Conference on Web and Social Media,ICWSM,B,A,人机交互与普适计算,CCF2026|CORE2026,简称唯一匹配,International Conference on Web and Social Media
The International ACM Symposium on High-Performance Parallel and Distributed Computing,HPDC,A,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,ACM International Symposium on High Performance Distributed Computing
The International Conference on Future Networks and Communications,FNC,,Unranked,,CORE2026,仅CORE收录,
The International Conference on Intelligent Environments,IE,,B,,CORE2026,仅CORE收录,
The International Conference on Verification and Evaluation of Computer and Communication Systems,VECoS,,C,,CORE2026,仅CORE收录,
The International Conference on Wireless Artificial Intelligent Computing Systems and Applications,WASA,C,,计算机网络,CCF2026,仅CCF收录,
The International Symposium on Code Generation and Optimization,CGO,B,A,计算机体系结构/并行与分布计算/存储系统,CCF2026|CORE2026,简称唯一匹配,International Symposium on Code Generation and Optimization
The Symposium of Combinatorial Search,SoCS,,B,,CORE2026,仅CORE收录,
The Theory and Application of Diagrams,DIAGRAMS,,C,,CORE2026,仅CORE收录,
The Web Conference （原 International World Wide Web Conference）,WWW,A,A*,交叉/综合/新兴,CCF2026|CORE2026,简称唯一匹配,International World Wide Web Conference
Theoretical Aspects of Rationality and Knowledge,TARK,,B,,CORE2026,仅CORE收录,
Theoretical Aspects of Software Engineering Conference,TASE,C,National: China,软件工程/系统软件/程序设计语言,CCF2026|CORE2026,简称唯一匹配,International Symposium on Theoretical Aspects of Software Engineering
Theory of Cryptography Conference,TCC,B,B,网络与信息安全,CCF2026|CORE2026,标题精确匹配,
Tools and Algorithms for Construction and Analysis of Systems,TACAS,,A,,CORE2026,仅CORE收录,
Usable Security and Privacy,USEC,,National: USA,,CORE2026,仅CORE收录,
Usenix Annual Technical Conference,USENIX,,A,,CORE2026,仅CORE收录,
