期刊名称,简称,CCF等级,CCF领域,中科院大类,中科院大类分区,中科院 Top,WOS索引,中科院小类分区,特殊标注,数据来源,JCR类别,JCR影响因子2024,JCR分区2024
International Journal of Modeling Simulation and Scientific Computing,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [132/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",1,Q3
INTERNATIONAL JOURNAL OF MODELLING AND SIMULATION,,,,工程技术,3区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [53/179] | MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用::4区 [68/136]",,中科院2025,,,
International Journal of Modelling Identification and Control,,,,计算机科学,4区,否,ESCI,AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::4区 [80/83],,中科院2025|JCR2024,AUTOMATION & CONTROL SYSTEMS(ESCI),1,Q4
International Journal of Multimedia Data Engineering & Management,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [124/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(ESCI)",0.5,Q4
International Journal of Multimedia Information Retrieval,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [127/196] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [86/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",2.9,Q2
INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,,,,工程技术,2区,否,SCIE,MECHANICS 力学::2区 [28/171],,中科院2025,,,
International Journal of Naval Architecture and Ocean Engineering,,,,工程技术,3区,否,SCIE,"ENGINEERING, MARINE 工程：海洋::3区 [7/26]",,中科院2025,,,
International Journal of Network Management,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [198/249] | TELECOMMUNICATIONS 电信学::4区 [97/119]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)",2.6,Q3
International Journal of Networked and Distributed Computing,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [115/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(ESCI)",0.5,Q4
International Journal of Neural Systems,IJNS,C,人工智能,计算机科学,1区,是,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::2区 [22/196]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",6.4,Q1
INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,,,,工程技术,3区,否,SCIE,MECHANICS 力学::3区 [50/171],,中科院2025,,,
INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,,,,工程技术,4区,否,SCIE,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [81/179] | MATHEMATICS, APPLIED 应用数学::4区 [289/330] | MECHANICS 力学::4区 [122/171] | PHYSICS, MATHEMATICAL 物理：数学物理::4区 [52/60]",,中科院2025,,,
INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,,,,工程技术,3区,否,SCIE,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用::3区 [38/136] | MECHANICS 力学::3区 [56/171] | THERMODYNAMICS 热力学::3区 [22/78]",,中科院2025,,,
INTERNATIONAL JOURNAL OF NUMERICAL MODELLING-ELECTRONIC NETWORKS DEVICES AND FIELDS,,,,工程技术,4区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [243/352] | MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用::4区 [108/136]",,中科院2025,,,
INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,,,,工程技术,4区,否,SCIE,"ENGINEERING, CIVIL 工程：土木::4区 [141/180] | ENGINEERING, MECHANICAL 工程：机械::4区 [152/181] | ENGINEERING, OCEAN 工程：大洋::4区 [14/18]",,中科院2025,,,
International Journal of Oil Gas and Coal Technology,,,,工程技术,4区,否,SCIE,"ENERGY & FUELS 能源与燃料::4区 [156/171] | ENGINEERING, CHEMICAL 工程：化工::4区 [146/169] | ENGINEERING, PETROLEUM 工程：石油::4区 [17/24]",,中科院2025,,,
International Journal of Optomechatronics,,,,工程技术,2区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::2区 [35/181] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [100/352] | OPTICS 光学::3区 [31/119]",,中科院2025,,,
International Journal of Parallel Emergent and Distributed Systems,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [124/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",0.7,Q4
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [95/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(SCIE)",0.9,Q3
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,IJPRAI,C,人工智能,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [183/196]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",1.1,Q4
International Journal of Pavement Engineering,,,,工程技术,3区,否,SCIE,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::3区 [29/91] | ENGINEERING, CIVIL 工程：土木::3区 [58/180] | MATERIALS SCIENCE, CHARACTERIZATION & TESTING 材料科学：表征与测试::3区 [11/38]",,中科院2025,,,
International Journal of Pavement Research and Technology,,,,工程技术,3区,否,ESCI,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::3区 [37/91] | ENGINEERING, CIVIL 工程：土木::3区 [76/180] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::4区 [228/436]",,中科院2025,,,
International Journal of Pervasive Computing and Communications,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [164/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",0.8,Q4
INTERNATIONAL JOURNAL OF PHOTOENERGY,,,,工程技术,4区,否,SCIE,"ENERGY & FUELS 能源与燃料::4区 [132/171] | OPTICS 光学::4区 [96/119] | PHYSICS, ATOMIC, MOLECULAR & CHEMICAL 物理：原子、分子和化学物理::4区 [34/40]",,中科院2025,,,
International Journal of Physical Modelling in Geotechnics,,,,工程技术,4区,否,SCIE,"ENGINEERING, GEOLOGICAL 工程：地质::4区 [47/65]",,中科院2025,,,
INTERNATIONAL JOURNAL OF POLYMER ANALYSIS AND CHARACTERIZATION,,,,工程技术,4区,否,SCIE,POLYMER SCIENCE 高分子科学::4区 [73/94],,中科院2025,,,
International Journal of Power and Energy Systems,,,,工程技术,4区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [348/352]",,中科院2025,,,
International Journal of Precision Engineering and Manufacturing,,,,工程技术,3区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::3区 [59/181] | ENGINEERING, MANUFACTURING 工程：制造::4区 [33/70]",,中科院2025,,,
International Journal of Precision Engineering and Manufacturing-Green Technology,,,,工程技术,3区,否,SCIE,"ENGINEERING, MANUFACTURING 工程：制造::3区 [25/70] | ENGINEERING, MECHANICAL 工程：机械::3区 [49/181] | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术::4区 [42/91]",,中科院2025,,,
INTERNATIONAL JOURNAL OF PRESSURE VESSELS AND PIPING,,,,工程技术,2区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::3区 [42/181] | ENGINEERING, MULTIDISCIPLINARY 工程：综合::3区 [32/179]",,中科院2025,,,
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,,,,工程技术,1区,是,SCIE,"ENGINEERING, INDUSTRIAL 工程：工业::2区 [9/70] | ENGINEERING, MANUFACTURING 工程：制造::2区 [9/70] | OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学::2区 [8/106]",,中科院2025,,,
International Journal of Production Management and Engineering,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [78/179]",,中科院2025,,,
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,,,,工程技术,2区,否,SCIE,"OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学::2区 [17/106] | ENGINEERING, INDUSTRIAL 工程：工业::3区 [16/70] | ENGINEERING, MANUFACTURING 工程：制造::3区 [14/70]",,中科院2025,,,
International Journal of Prognostics and Health Management,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [111/179] | INSTRUMENTS & INSTRUMENTATION 仪器仪表::4区 [68/76]",,中科院2025,,,
International Journal of Protective Structures,,,,工程技术,4区,否,ESCI,"ENGINEERING, CIVIL 工程：土木::4区 [110/180]",,中科院2025,,,
International Journal of Rail Transportation,,,,工程技术,2区,否,SCIE,TRANSPORTATION SCIENCE & TECHNOLOGY 运输科技::3区 [23/71],,中科院2025,,,
INTERNATIONAL JOURNAL OF REFRIGERATION,,,,工程技术,2区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::2区 [36/181] | THERMODYNAMICS 热力学::2区 [17/78]",,中科院2025,,,
International Journal of Reliability Quality and Safety Engineering,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [97/179]",,中科院2025,,,
International Journal of Renewable Energy Development-IJRED,,,,工程技术,4区,否,ESCI,ENERGY & FUELS 能源与燃料::4区 [123/171] | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术::4区 [75/91],,中科院2025,,,
International Journal of Renewable Energy Research,,,,工程技术,4区,否,ESCI,ENERGY & FUELS 能源与燃料::4区 [154/171],,中科院2025,,,
INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,,,,工程技术,4区,否,SCIE,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [159/172] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [293/352]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",1,Q4
INTERNATIONAL JOURNAL OF ROBOTICS & AUTOMATION,,,,计算机科学,4区,否,SCIE,AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::4区 [78/83] | ROBOTICS 机器人学::4区 [44/47],,中科院2025|JCR2024,AUTOMATION & CONTROL SYSTEMS(SCIE);ROBOTICS(SCIE),1,Q4
INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,,,,计算机科学,2区,否,SCIE,ROBOTICS 机器人学::2区 [6/47],,中科院2025|JCR2024,ROBOTICS(SCIE),5,Q2
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,,,,计算机科学,4区,否,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::3区 [33/83] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [150/352] | MATHEMATICS, APPLIED 应用数学::3区 [130/330]",,中科院2025|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);MATHEMATICS, APPLIED(SCIE)",3.2,Q1
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,,,,工程技术,1区,是,SCIE,"ENGINEERING, GEOLOGICAL 工程：地质::1区 [3/65] | MINING & MINERAL PROCESSING 矿业与矿物加工::1区 [2/32]",,中科院2025,,,
International Journal of Rotating Machinery,,,,工程技术,4区,否,ESCI,"ENGINEERING, MECHANICAL 工程：机械::4区 [141/181]",,中科院2025,,,
INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,,,,计算机科学,4区,否,SCIE,"ENGINEERING, AEROSPACE 工程：宇航::4区 [38/53] | TELECOMMUNICATIONS 电信学::4区 [103/119]",,中科院2025|JCR2024,"ENGINEERING, AEROSPACE(SCIE);TELECOMMUNICATIONS(SCIE)",1.6,Q2
International Journal of Semantic Computing,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [191/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",0.6,Q4
International Journal of Sensor Networks,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [195/249] | TELECOMMUNICATIONS 电信学::4区 [93/119]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)",1.1,Q4
International Journal of Simulation Modelling,,,,工程技术,3区,否,SCIE,"ENGINEERING, MANUFACTURING 工程：制造::3区 [22/70] | ENGINEERING, INDUSTRIAL 工程：工业::4区 [30/70]",,中科院2025,,,
International Journal of Social Robotics,,,,计算机科学,2区,否,SCIE,ROBOTICS 机器人学::3区 [12/47],,中科院2025|JCR2024,ROBOTICS(SCIE),3.7,Q2
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,IJSEKE,C,软件工程/系统软件/程序设计语言,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [176/196] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [116/131] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [294/352]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)",0.6,Q4
International Journal of Software Innovation,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [129/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(ESCI)",0.6,Q4
International Journal of Software Science and Computational Intelligence-IJSSCI,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [116/196] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [145/249] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [82/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI);COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);COMPUTER SCIENCE, SOFTWARE ENGINEERING(ESCI)",3.4,Q2
International Journal of Software Tools for Technology Transfer,STTT,C,软件工程/系统软件/程序设计语言,,,,,,,CCF2026,,,
INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES,,,,工程技术,2区,否,SCIE,MECHANICS 力学::2区 [37/171],,中科院2025,,,
International Journal of Spray and Combustion Dynamics,,,,工程技术,4区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::4区 [114/181] | THERMODYNAMICS 热力学::4区 [48/78]",,中科院2025,,,
International Journal of Steel Structures,,,,工程技术,4区,否,SCIE,"CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [59/91] | ENGINEERING, CIVIL 工程：土木::4区 [122/180]",,中科院2025,,,
International Journal of Structural Engineering,,,,工程技术,4区,否,ESCI,"ENGINEERING, CIVIL 工程：土木::4区 [170/180]",,中科院2025,,,
International Journal of Structural Integrity,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [66/179]",,中科院2025,,,
International Journal of Structural Stability and Dynamics,,,,工程技术,3区,否,SCIE,"ENGINEERING, CIVIL 工程：土木::3区 [47/180] | ENGINEERING, MECHANICAL 工程：机械::3区 [47/181] | MECHANICS 力学::3区 [48/171]",,中科院2025,,,
International Journal of Surface Science and Engineering,,,,工程技术,4区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::4区 [145/181] | MATERIALS SCIENCE, COATINGS & FILMS 材料科学：膜::4区 [23/24] | MATERIALS SCIENCE, MULTIDISCIPLINARY 材料科学：综合::4区 [352/436] | PHYSICS, APPLIED 物理：应用::4区 [153/178]",,中科院2025,,,
International Journal of Sustainable Aviation,,,,工程技术,4区,否,ESCI,"ENGINEERING, AEROSPACE 工程：宇航::4区 [48/53]",,中科院2025,,,
International Journal of Sustainable Construction Engineering and Technology,,,,工程技术,4区,否,ESCI,CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [79/91],,中科院2025,,,
International Journal of Sustainable Energy,,,,工程技术,4区,否,ESCI,ENERGY & FUELS 能源与燃料::4区 [144/171],,中科院2025,,,
International Journal of Sustainable Engineering,,,,工程技术,4区,否,ESCI,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术::4区 [72/91],,中科院2025,,,
International Journal of Sustainable Transportation,,,,工程技术,3区,否,SSCI,ENVIRONMENTAL STUDIES 环境研究::4区 [121/183] | GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY 绿色可持续发展技术::4区 [57/91] | TRANSPORTATION 交通运输::4区 [40/58],,中科院2025,,,
International Journal of Swarm Intelligence Research,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [187/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",0.8,Q4
International Journal of System Assurance Engineering and Management,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [90/179]",,中科院2025,,,
International Journal of System Dynamics Applications,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [194/196]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)",0.1,Q4
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,,,,计算机科学,4区,否,SCIE,"AUTOMATION & CONTROL SYSTEMS 自动化与控制系统::4区 [40/83] | COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [75/143] | OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学::4区 [54/106]",,中科院2025|JCR2024,"AUTOMATION & CONTROL SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE);OPERATIONS RESEARCH & MANAGEMENT SCIENCE(SCIE)",4.6,Q1
International Journal of Systems Science-Operations & Logistics,,,,工程技术,2区,否,SCIE,"ENGINEERING, INDUSTRIAL 工程：工业::3区 [27/70] | OPERATIONS RESEARCH & MANAGEMENT SCIENCE 运筹学与管理科学::3区 [29/106]",,中科院2025,,,
International Journal of Technology,,,,工程技术,4区,否,ESCI,"ENGINEERING, MULTIDISCIPLINARY 工程：综合::4区 [89/179]",,中科院2025,,,
INTERNATIONAL JOURNAL OF THERMAL SCIENCES,,,,工程技术,2区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::2区 [22/181] | THERMODYNAMICS 热力学::2区 [10/78]",,中科院2025,,,
International Journal of Thermodynamics,,,,工程技术,4区,否,ESCI,THERMODYNAMICS 热力学::4区 [60/78],,中科院2025,,,
INTERNATIONAL JOURNAL OF THERMOPHYSICS,,,,工程技术,3区,否,SCIE,"CHEMISTRY, PHYSICAL 物理化学::3区 [44/104] | MECHANICS 力学::3区 [74/171] | PHYSICS, APPLIED 物理：应用::3区 [74/178] | THERMODYNAMICS 热力学::3区 [30/78]",,中科院2025,,,
International Journal of Transport Economics,,,,工程技术,4区,否,SSCI,ECONOMICS 经济学::4区 [594/599] | TRANSPORTATION 交通运输::4区 [58/58],,中科院2025,,,
International Journal of Transportation Science and Technology,,,,工程技术,2区,否,ESCI,TRANSPORTATION 交通运输::2区 [12/58] | TRANSPORTATION SCIENCE & TECHNOLOGY 运输科技::2区 [12/71],,中科院2025,,,
INTERNATIONAL JOURNAL OF TURBO & JET-ENGINES,,,,工程技术,4区,否,SCIE,"ENGINEERING, AEROSPACE 工程：宇航::4区 [39/53]",,中科院2025,,,
International Journal of Turbomachinery Propulsion and Power,,,,工程技术,4区,否,ESCI,"ENGINEERING, AEROSPACE 工程：宇航::3区 [20/53] | ENGINEERING, MECHANICAL 工程：机械::4区 [82/181]",,中科院2025,,,
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,IJUFKS,C,人工智能,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [165/196]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",1,Q4
International Journal of Unconventional Computing,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, THEORY & METHODS 计算机：理论方法::4区 [119/143]",,中科院2025|JCR2024,"COMPUTER SCIENCE, THEORY & METHODS(SCIE)",0.7,Q4
INTERNATIONAL JOURNAL OF VEHICLE DESIGN,,,,工程技术,4区,否,SCIE,"ENGINEERING, MECHANICAL 工程：机械::4区 [168/181] | TRANSPORTATION SCIENCE & TECHNOLOGY 运输科技::4区 [65/71]",,中科院2025,,,
International Journal of Ventilation,,,,工程技术,4区,否,SCIE,CONSTRUCTION & BUILDING TECHNOLOGY 结构与建筑技术::4区 [68/91] | ENERGY & FUELS 能源与燃料::4区 [141/171],,中科院2025,,,
International Journal of Wavelets Multiresolution and Information Processing,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [102/131] | MATHEMATICS, INTERDISCIPLINARY APPLICATIONS 数学跨学科应用::4区 [106/136]",,中科院2025|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);MATHEMATICS, INTERDISCIPLINARY APPLICATIONS(SCIE)",0.8,Q4
International Journal of Web and Grid Services,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [210/249] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [119/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",1.4,Q3
International Journal of Web Information Systems,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [162/249]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",2.3,Q3
International Journal of Web Services Research,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [204/249] | COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [114/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",0.7,Q4
International Journal of Wireless Information Networks,,,,计算机科学,4区,否,ESCI,TELECOMMUNICATIONS 电信学::4区 [92/119],,中科院2025|JCR2024,TELECOMMUNICATIONS(ESCI),1.2,Q4
International Journal on Artificial Intelligence Tools,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::4区 [167/196] | COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS 计算机：跨学科应用::4区 [151/172]",,中科院2025|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE)",1,Q4
International Journal on Document Analysis and Recognition,IJDAR,C,人工智能,计算机科学,3区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::3区 [81/196]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",2.5,Q3
International Journal on Information Technologies and Security,,,,计算机科学,4区,否,ESCI,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::4区 [188/249]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",0.9,Q4
International Journal on Semantic Web and Information Systems,IJSWIS,C,数据库/数据挖掘/内容检索,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE 计算机：人工智能::2区 [35/196] | COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::2区 [37/249]",,中科院2025|CCF2026|JCR2024,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",5.6,Q1
International Journal on Smart Sensing and Intelligent Systems,,,,工程技术,4区,否,ESCI,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [341/352]",,中科院2025|JCR2024,"ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI)",0.4,Q4
International Journal on Software Tools for Technology Transfer,,,,计算机科学,4区,否,SCIE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING 计算机：软件工程::4区 [72/131]",,中科院2025|JCR2024,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",1.4,Q3
INTERNATIONAL POLYMER PROCESSING,,,,工程技术,4区,否,SCIE,"ENGINEERING, CHEMICAL 工程：化工::4区 [122/169] | POLYMER SCIENCE 高分子科学::4区 [81/94]",,中科院2025,,,
International Shipbuilding Progress,,,,工程技术,4区,否,ESCI,"ENGINEERING, MARINE 工程：海洋::4区 [18/26]",,中科院2025,,,
International Transactions on Electrical Energy Systems,,,,工程技术,4区,否,SCIE,"ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::4区 [273/352]",,中科院2025,,,
Internet of Things,,,,计算机科学,2区,否,SCIE,"COMPUTER SCIENCE, INFORMATION SYSTEMS 计算机：信息系统::3区 [56/249] | ENGINEERING, ELECTRICAL & ELECTRONIC 工程：电子与电气::3区 [77/352] | TELECOMMUNICATIONS 电信学::3区 [27/119]",,中科院2025|JCR2024,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)",7.6,Q1
Internet Technology Letters,,,,计算机科学,4区,否,ESCI,TELECOMMUNICATIONS 电信学::4区 [113/119],,中科院2025,,,
